年月,地區,卡數,總交易筆數,總交易金額[新臺幣],跨境交易筆數,跨境交易金額[新臺幣]
201405,10016000,29927,110260,280835845,1262,4638846
201405,09020000,21604,83620,244946181,834,4109123
201405,09007000,3273,12332,37560274,108,415083
201406,63000000,2726066,11995411,37344670177,466255,3037593617
201406,65000000,3209218,12964355,31660350447,344631,1749110787
201406,68000000,1381023,5600822,13813994863,127102,644992450
201406,10004000,350391,1520549,3923604846,36488,212527599
201406,10018000,370156,1615906,4283948488,43829,217281365
201406,10005000,242964,966235,2133964152,14374,63627986
201406,66000000,1803154,7347018,18249015464,153502,848088635
201406,10007000,520113,2014980,4644509604,30678,156824592
201406,10008000,176364,682823,1498890986,9423,42082755
201406,10009000,205635,784668,1756109543,9856,50628240
201406,10010000,158520,597498,1292095303,7570,49306764
201406,10020000,154610,590646,1422921087,10188,48284199
201406,67000000,1021603,4036057,9115156829,74644,358425294
201406,64000000,1710749,6585490,15314443960,125713,641201793
201406,10013000,293915,1119940,2511308508,15080,75442716
201406,10017000,241759,934118,2111816583,19795,78918574
201406,10002000,171908,686713,1569876343,12312,55413293
201406,10015000,124914,509736,1154087975,7440,35525778
201406,10014000,66517,265205,573914085,3342,13434797
201406,10016000,29784,109411,250846478,1373,4720420
201406,09020000,23110,87947,219627704,973,4073530
201406,09007000,3469,13595,30607338,191,453925
201407,63000000,2740967,12564337,35556119125,505291,3094001939
201407,65000000,3241008,13660275,31550793866,349394,1788845509
201407,68000000,1395354,5885419,13642269127,130800,664888445
201407,10004000,351874,1587002,3744768423,39759,216094650
201407,10018000,370104,1683405,3995976211,47337,243414043
201407,10005000,244105,1011959,2165230270,15093,64946041
201407,66000000,1799367,7624233,18314762368,168225,939847152
201407,10007000,523753,2116647,4690368184,33235,174972735
201407,10008000,177886,720125,1563024946,10656,50676414
201407,10009000,207539,827698,1767096861,11694,52687690
201407,10010000,160787,629699,1293712252,8259,46449089
201407,10020000,157462,630313,1405854859,11671,51703605
201407,67000000,1030991,4213360,9088677496,81908,399514390
201407,64000000,1741219,6974164,15415497654,131114,634619990
201407,10013000,298338,1186952,2557147356,15797,77104256
201407,10017000,243736,981908,2109533619,19458,91170406
201407,10002000,174551,733621,1602242101,13024,56742430
201407,10015000,125995,536412,1169339530,8434,36622314
201407,10014000,67645,281897,602560457,4115,16667015
201407,10016000,29997,117286,262547287,1651,7309768
201407,09020000,24265,99860,244111233,1463,6137071
201407,09007000,3590,15738,38926023,203,817336
201408,63000000,2816200,12966612,36709938589,485111,3023977455
201408,65000000,3332358,14077319,32405633287,340229,1720822144
201408,68000000,1429006,6040589,14038397327,125975,649208117
201408,10004000,363458,1654611,3800811546,38492,196893356
201408,10018000,382985,1759731,4199577802,44523,225301510
201408,10005000,252281,1051944,2239463422,15696,70870785
201408,66000000,1869504,7951633,19103102393,164549,844064168
201408,10007000,541153,2184611,4919140123,32577,167398890
201408,10008000,183166,743597,1588060555,10041,42943994
201408,10009000,214133,852299,1832800098,10642,52172969
201408,10010000,166656,651340,1355665758,7881,43876740
201408,10020000,163361,650998,1451620133,10525,51487615
201408,67000000,1062594,4360436,9409780709,77296,380926311
201408,64000000,1781742,7123779,15688305455,127006,599386867
201408,10013000,306101,1219038,2642433269,16561,72311599
201408,10017000,248551,1002908,2175800001,18414,77700974
201408,10002000,177978,744041,1646593430,13278,57253271
201408,10015000,128510,553594,1214383893,9161,40432253
201408,10014000,69414,292663,604514910,3889,15513262
201408,10016000,30829,117833,264293890,1295,4625768
201408,09020000,24119,99322,225921090,1232,5050717
201408,09007000,3512,14370,35508942,117,248772
201409,63000000,2782374,12125862,37418974423,450522,3009267830
201409,65000000,3285289,13229682,32325448126,332877,1700741638
201409,68000000,1404335,5618946,13810322218,118756,607191096
201409,10004000,357066,1531175,3686230787,33899,178187274
201409,10018000,377133,1641630,4063165974,40729,201625452
201409,10005000,247157,971746,2184061950,13927,71030998
201409,66000000,1849582,7498297,19613378767,146238,862990035
201409,10007000,529689,2028302,4949806681,29291,172800586
201409,10008000,180526,692643,1572936436,9078,41457802
201409,10009000,208494,784947,1791395489,9641,45367746
201409,10010000,161779,607027,1334725258,7259,37131307
201409,10020000,158370,598773,1477279488,9281,43002372
201409,67000000,1036450,4017729,9089365485,70616,367905454
201409,64000000,1730970,6570368,15441528868,118545,596926621
201409,10013000,296475,1110625,2530393040,14353,66067934
201409,10017000,247012,956046,2133474104,17972,83142602
201409,10002000,174936,694748,1616910244,12058,56132453
201409,10015000,125741,504663,1143110354,7755,35773583
201409,10014000,67386,264070,563865955,3296,14404816
201409,10016000,30431,108504,248961705,1368,4995019
201409,09020000,23461,88308,216983369,1071,4438298
201409,09007000,3353,13295,32128518,113,392349
201410,63000000,2817593,12736603,38288105276,446954,2945531530
201410,65000000,3330873,13798688,34019979543,348370,1785797965
201410,68000000,1427084,5890862,14623085176,127442,636159684
201410,10004000,360898,1587939,3833852148,37323,193228221
201410,10018000,381445,1699009,4190545064,44171,224519366
201410,10005000,249044,1002708,2204607185,15326,62153138
201410,66000000,1857615,7718042,19370154214,155555,848774050
201410,10007000,534056,2099302,4882879888,31502,152640865
201410,10008000,180740,709195,1559704410,10033,48210474
201410,10009000,210408,816886,1774071036,10517,46820636
201410,10010000,163676,629280,1318715165,7950,32927113
201410,10020000,161421,633448,1484931611,11018,47780466
201410,67000000,1051377,4183048,9142932685,77887,404661534
201410,64000000,1777277,6994453,16351479064,123452,611138411
201410,10013000,306364,1187262,2759914785,15615,78448319
201410,10017000,249156,990458,2265843768,19965,93688345
201410,10002000,178450,731293,1667701184,12506,58565494
201410,10015000,128918,535514,1250076115,8189,36231867
201410,10014000,68230,273560,575700508,3416,13508561
201410,10016000,31588,119024,267646036,1573,6995371
201410,09020000,23968,93910,213820682,1201,5155605
201410,09007000,3344,13649,30519144,205,543515
201411,63000000,2819961,12426471,36850045114,434578,2737154673
201411,65000000,3324734,13422265,32030980203,350606,1617781090
201411,68000000,1433543,5822530,14185940365,131254,610589560
201411,10004000,360006,1554157,3638851433,37685,186220313
201411,10018000,382696,1673807,4065860575,44229,208114795
201411,10005000,247650,965090,2036658435,15774,65668324
201411,66000000,1832265,7334087,17382440871,160835,844128171
201411,10007000,526208,1996443,4338214908,34227,150608377
201411,10008000,178270,674363,1408487332,10247,45454732
201411,10009000,208009,783991,1626475779,11265,45869898
201411,10010000,161290,605110,1232755641,8656,34530905
201411,10020000,158137,596248,1360986963,10313,42274794
201411,67000000,1065239,4270363,10004502460,80003,346053429
201411,64000000,1779284,7015627,16266156786,126531,568821049
201411,10013000,300980,1138155,2491320003,17267,71437593
201411,10017000,248705,955787,2085439459,19356,72806532
201411,10002000,176316,694985,1550061875,13069,55207832
201411,10015000,125920,512441,1108309835,8572,34104196
201411,10014000,66630,261324,546822794,3630,11801307
201411,10016000,31218,114089,253227179,1633,6472644
201411,09020000,23459,88882,210033812,1309,5390675
201411,09007000,3277,12321,29093326,257,590176
201412,63000000,2876551,13208309,39871155877,423917,2596502787
201412,65000000,3414096,14400528,35924608642,338547,1609358257
201412,68000000,1471670,6203070,15131668510,128937,562676138
201412,10004000,377857,1739350,4262640845,34538,165255055
201412,10018000,400314,1866598,4626288525,42098,181845903
201412,10005000,259659,1079901,2413137070,14707,58030242
201412,66000000,1911649,8095572,20296740632,148547,778109185
201412,10007000,551453,2205678,5160554122,32493,144540389
201412,10008000,186698,746605,1653777657,9732,41468509
201412,10009000,217658,861748,1902988183,10739,41182489
201412,10010000,169261,661716,1417078412,8177,31188917
201412,10020000,164619,648591,1504942381,10596,47016084
201412,67000000,1099616,4453048,9943153518,76594,340256243
201412,64000000,1842032,7477898,17579996224,123784,566347809
201412,10013000,314740,1246993,2886326178,16621,66715245
201412,10017000,255330,1032119,2404663454,19450,79917382
201412,10002000,185136,776551,1791439303,13316,55998845
201412,10015000,131090,562135,1257212853,8352,30513899
201412,10014000,70587,292220,655544011,4019,13255956
201412,10016000,33924,134467,328449045,2003,10325280
201412,09020000,25067,103221,259880744,1420,4926635
201412,09007000,3617,15619,37186798,316,667228
201501,63000000,2861656,12742156,36911450953,438049,2687558800
201501,65000000,3396182,13854474,32875684695,343988,1604118914
201501,68000000,1455926,5935037,14133729897,129836,599147513
201501,10004000,368585,1605449,3753925979,34913,176286614
201501,10018000,389499,1720888,4066994268,42369,192934650
201501,10005000,255641,1018104,2182896968,15294,61471106
201501,66000000,1885694,7683182,18909554348,144986,762750107
201501,10007000,544594,2111184,4757648907,32048,147747482
201501,10008000,183894,711732,1541305575,10018,51279888
201501,10009000,214918,824890,1761748658,10623,44031852
201501,10010000,166578,633849,1307428273,8249,38069081
201501,10020000,162442,623826,1450116455,10046,42679482
201501,67000000,1110571,4390555,9688625958,77227,345876904
201501,64000000,1793142,6892630,15653353980,123917,563674770
201501,10013000,308669,1171661,2606606260,16475,65684525
201501,10017000,254983,997795,2181541353,19314,73203716
201501,10002000,183288,738393,1656196898,13476,49860771
201501,10015000,130311,545864,1210057177,8473,32348109
201501,10014000,70125,284187,619065466,3742,12359063
201501,10016000,32855,123680,283778828,1783,6496908
201501,09020000,24340,94912,250387313,1281,4498572
201501,09007000,3612,14513,34427929,352,883263
201502,63000000,2795816,11903507,34746760639,420172,2697576333
201502,65000000,3339287,13042368,31840976647,305791,1514816526
201502,68000000,1430731,5620040,13726024963,115543,580595888
201502,10004000,362086,1514007,3622530313,32571,190008107
201502,10018000,381718,1618978,3890170214,39337,187166515
201502,10005000,248106,949032,2094035746,13377,61040272
201502,66000000,1843528,7234996,18519088768,132454,728466826
201502,10007000,529612,1958698,4607954197,28303,140799841
201502,10008000,179592,665472,1521125354,8475,40012710
201502,10009000,209394,767839,1716365140,9879,46590530
201502,10010000,162863,589352,1277437636,6659,36182497
201502,10020000,159956,590046,1397817994,9014,47005484
201502,67000000,1081647,4089849,9245423297,69403,339562069
201502,64000000,1765161,6547496,15381799443,110878,545316337
201502,10013000,302235,1102972,2466162467,14338,62077718
201502,10017000,247584,928092,2109347204,16835,71218731
201502,10002000,179329,699827,1607969303,11415,48957711
201502,10015000,126671,505002,1177865194,7553,31438287
201502,10014000,67728,261708,584161851,3354,12591875
201502,10016000,31713,115303,271600550,1696,7793277
201502,09020000,23601,86312,228385686,1115,5056950
201502,09007000,3485,14631,37809905,317,1064000
201503,63000000,2837450,12556582,36255521204,457792,3014646120
201503,65000000,3377181,13716655,32445000130,365665,1806735972
201503,68000000,1439898,5823405,13844735412,138724,689732823
201503,10004000,365085,1577327,3747487504,36030,217242561
201503,10018000,387135,1692955,4053969644,43658,203093357
201503,10005000,254263,1009446,2143309423,16811,72500017
201503,66000000,1878465,7645880,19043708961,162607,881906661
201503,10007000,541327,2095857,4858843978,35746,191931143
201503,10008000,184140,713272,1555856045,11055,49452639
201503,10009000,213841,822829,1757196612,11409,53830131
201503,10010000,164868,624659,1324293458,9191,40622784
201503,10020000,160769,614013,1430196290,11102,48622877
201503,67000000,1098527,4369133,9463444285,87840,404645962
201503,64000000,1780232,6848080,15944662838,141771,696691441
201503,10013000,309290,1179418,2696475983,18022,80084819
201503,10017000,250341,980866,2168462154,21860,94306760
201503,10002000,184875,746637,1678230462,14515,60746060
201503,10015000,128995,532104,1172620871,9126,42256142
201503,10014000,69173,278073,590475245,4092,15793394
201503,10016000,32318,122010,283234963,1669,7498017
201503,09020000,23655,90986,222303996,1130,3951333
201503,09007000,3414,13597,32059921,289,798239
201504,63000000,2859756,12503547,38069029705,507025,3230682376
201504,65000000,3417606,13661540,33978342299,411853,1958357012
201504,68000000,1460241,5830356,14494709030,153900,762600030
201504,10004000,371058,1580693,3865478566,41659,201518197
201504,10018000,392189,1692662,4307618940,50971,231428001
201504,10005000,256836,1004494,2291681076,19954,77556733
201504,66000000,1897646,7608135,19246165931,182138,949916006
201504,10007000,543716,2057670,4907586389,38552,176764843
201504,10008000,184777,699190,1563928820,11966,53011743
201504,10009000,214308,804640,1787270840,12338,59622356
201504,10010000,166787,614436,1352494978,9927,43612180
201504,10020000,163284,610830,1604261503,12369,53792305
201504,67000000,1111688,4304668,9764375935,92408,428239878
201504,64000000,1811876,6904706,16532058072,151900,738423771
201504,10013000,314094,1167975,2777530675,19091,79875727
201504,10017000,253774,977593,2223198146,22636,93015641
201504,10002000,185641,728228,1692464729,15846,60283999
201504,10015000,131049,530071,1213346782,9058,39390320
201504,10014000,69618,272073,610799529,4529,17613819
201504,10016000,31152,117395,262974146,2126,6885931
201504,09020000,23685,88787,213984265,1443,5543928
201504,09007000,3590,14559,35521899,313,1586562
201505,63000000,2928561,13390943,56889083326,527568,3427741324
201505,65000000,3493757,14599158,44959453804,445509,2050343908
201505,68000000,1490411,6153507,17724442501,166336,793386741
201505,10004000,379254,1690504,5999176380,46955,255150723
201505,10018000,401196,1812281,7117283545,56366,259959593
201505,10005000,262063,1067103,2710592281,23061,83077715
201505,66000000,1927911,8000533,23542893511,203906,1009873693
201505,10007000,554734,2168224,5848232376,42398,191592010
201505,10008000,188427,737231,1841950196,13364,58219465
201505,10009000,219879,854022,2036295551,14139,48237236
201505,10010000,171453,652962,1556094524,11296,48564105
201505,10020000,166654,646518,1855893395,13604,57201196
201505,67000000,1136379,4576663,12247479424,101014,438341006
201505,64000000,1846009,7274968,20607902527,165072,761137376
201505,10013000,318432,1226369,3035171191,20645,87205483
201505,10017000,258691,1034903,2642989775,25624,99520094
201505,10002000,190058,772101,1907175793,17219,69439403
201505,10015000,133669,561195,1427598301,10378,43315458
201505,10014000,71192,288374,741945584,5269,20650539
201505,10016000,31152,121017,319039102,2043,7017805
201505,09020000,24286,93649,260916714,1436,4885862
201505,09007000,3555,14024,42790376,306,979569
201506,63000000,2899914,13262464,41185127754,609659,3867534833
201506,65000000,3461364,14443365,34854129483,489896,2273294161
201506,68000000,1480743,6139524,14881285213,180485,873729619
201506,10004000,376520,1672896,4149808440,51499,256466916
201506,10018000,398935,1802373,4589387053,65035,294214998
201506,10005000,262133,1078061,2314441981,23107,88281635
201506,66000000,1924297,8039621,20006690022,219660,1128115709
201506,10007000,551484,2167171,5010710486,44952,214048920
201506,10008000,187816,739958,1615558186,13757,59274007
201506,10009000,217994,848675,1845303298,14272,59696940
201506,10010000,169745,650184,1361175621,11996,49152199
201506,10020000,164897,642902,1532248861,14003,62043546
201506,67000000,1129956,4566361,10144436630,109056,472948290
201506,64000000,1832163,7195316,16683768212,180867,826816056
201506,10013000,317960,1228602,2698268731,21672,91759937
201506,10017000,257370,1033236,2332344228,27664,130893445
201506,10002000,189094,774499,1727138505,17997,72966961
201506,10015000,133314,566155,1253909420,11303,54229136
201506,10014000,70899,291408,621339865,5391,21702839
201506,10016000,31153,121942,273088258,2130,7305797
201506,09020000,24180,95983,240584178,1734,9027000
201506,09007000,3535,14163,35385327,269,774764
201507,63000000,2964120,13947165,39035985139,637260,3910880788
201507,65000000,3528534,15122468,34118497602,491888,2139947363
201507,68000000,1509310,6421802,14611436323,187386,839827186
201507,10004000,383245,1748821,4013471370,56571,278598000
201507,10018000,406405,1881247,4382554576,67059,293065143
201507,10005000,268759,1134526,2320753964,22354,87568947
201507,66000000,1959590,8410681,19940728871,237175,1191584323
201507,10007000,564159,2285448,5006472456,48548,217221556
201507,10008000,191696,780731,1654361997,15733,68736814
201507,10009000,223852,902902,1876869573,17304,71628059
201507,10010000,172713,679231,1354631041,12388,47310081
201507,10020000,168309,677792,1523366280,16544,68086744
201507,67000000,1141938,4729536,9887434053,120718,540930052
201507,64000000,1867917,7585322,16651709280,191504,858948583
201507,10013000,323900,1287345,2713750435,23670,86723558
201507,10017000,262977,1079752,2241373030,27375,109418452
201507,10002000,192007,823053,1740955057,19922,82130931
201507,10015000,135025,596111,1282455584,12807,51174784
201507,10014000,71778,305151,629065321,5996,21418434
201507,10016000,32030,131894,293857173,2523,10914859
201507,09020000,25356,107571,277635727,2202,8995045
201507,09007000,3927,17735,42003663,329,1466824
201508,63000000,3005216,14311619,39610257910,656266,3691129498
201508,65000000,3587783,15542117,35313444841,517971,2275722639
201508,68000000,1544756,6632395,15265650679,199859,885977980
201508,10004000,388932,1804333,4050338233,57926,261958077
201508,10018000,411753,1938542,4548458924,70034,298692104
201508,10005000,273912,1169092,2397060111,24144,91717951
201508,66000000,1996465,8675899,20691275898,250876,1131455883
201508,10007000,577188,2369622,5260525443,55350,230758878
201508,10008000,194831,804063,1680542872,16402,64230177
201508,10009000,229028,928316,1977901153,19093,76945662
201508,10010000,178588,706247,1423056707,13225,44943346
201508,10020000,172996,706716,1598235184,17743,77742275
201508,67000000,1168881,4912450,10390641886,126096,518741548
201508,64000000,1903445,7850026,17118923587,205174,827682178
201508,10013000,330059,1322651,2828251565,25867,97386927
201508,10017000,266561,1098880,2311080510,29712,111980881
201508,10002000,195787,840672,1807889411,20742,85358953
201508,10015000,137832,610953,1281161483,12858,49983787
